Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1
430,513,390,444,511,584,405,522,435,519
630,727,446,497,610,711,558,653,412,494
475,573,631,704,509,599,513,609,432,510
647,739,392,453,633,719,528,619,368,451
1660,1776,569,677,1547,1645,1380,1561,497,637
1601,1680,425,520,1068,1161,1386,1500,561,679
699,826,504,610,770,871,420,622,567,659
884,983,700,864,693,798,827,929,429,514
1154,1340,628,830,1747,1876,1484,1622,1092,1262
920,1072,839,928,1243,1319,514,846,3414,3537
1038,1088,605,863,1462,1526,869,919,461,518
675,793,1510,1611,557,726,746,847,419,478
470,526,3838,4107,386,468,462,526,334,396
730,810,1088,1135,446,571,548,621,351,412
368,442,687,792,458,525,502,565,382,429
899,978,455,578,633,704,490,566,463,543
408,521,563,634,548,639,549,618,321,390
598,720,569,638,672,794,562,660,403,481
741,839,544,743,654,760,711,813,411,499
823,908,490,587,810,913,674,750,412,500
2019,2304,705,818,1884,2155,1840,2114,1275,1483
3376,3602,536,757,3514,3969,3174,3434,2414,2636
1679,1969,750,865,1340,1801,1705,1906,860,1064
3757,3963,1210,2011,2720,2933,1873,2096,3171,3388
1887,1977,2225,2596,1747,1837,1482,1574,784,873
508,572,1570,1768,501,567,438,494,307,345
653,744,3139,3345,781,827,572,644,427,488
680,750,1299,1393,808,911,958,1030,322,379
612,710,557,615,696,764,643,728,335,403
1315,1404,390,607,1272,1356,995,1078,552,664
923,1034,770,843,961,1079,948,1067,560,667
601,788,529,617,872,970,771,913,434,535
793,901,1035,1156,882,1037,593,797,502,606
1067,1181,1034,1152,835,944,627,1280,675,1131
924,1039,768,901,741,853,1042,1162,561,677
1584,1780,803,938,1783,2037,1977,2250,1185,1329
1469,1885,1019,1135,1834,2040,1534,1768,1109,1429
1059,1371,622,915,1506,1755,1089,1343,839,1029
3182,3348,1275,1787,1504,1725,1334,1525,1556,2196
1423,1603,1093,1486,1483,1720,1020,1376,864,1024
1139,1291,1488,1702,1134,1286,1892,2018,1352,1547
690,852,1588,1772,801,941,897,1008,613,780
768,909,1583,1773,787,889,882,979,508,619
799,970,798,1223,815,920,756,879,617,707
921,1032,631,826,1080,1190,857,1028,653,809
871,950,844,997,1020,1134,614,942,494,564
754,868,763,896,499,710,807,1029,475,566
668,760,609,986,758,872,808,941,477,569
722,865,939,1086,866,1007,878,1002,448,546
