Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4
772,1055,1141,859,959,845,940,1023,1101,1179,3182,3500,3998,3885,3754,582,860,786,719,649,2740,2859,3596,3364,2975
675,1023,944,854,770,610,757,845,949,1020,1030,1168,1479,1380,1288,364,819,748,687,624,1711,1811,2563,2450,2318
733,818,1104,1004,906,621,693,900,997,1074,1622,2548,2691,2845,2948,323,745,682,626,568,3997,4083,4524,4228,4158
909,1220,1149,1071,995,526,666,930,838,1011,985,1076,1328,1248,1167,559,871,788,713,637,767,850,1109,1027,945
800,1066,995,935,868,905,997,1336,1158,1243,796,882,1061,1003,941,648,947,869,799,727,814,907,1135,1068,995
872,1180,1105,1026,956,785,879,957,1034,1111,677,831,1151,1056,950,605,914,832,758,682,886,979,1239,1178,1119
781,958,1109,1036,883,589,751,839,920,991,646,722,809,970,890,525,834,715,654,592,827,935,1205,1120,1022
716,1075,983,904,809,856,948,1016,1095,1154,798,865,1037,979,1169,392,609,562,472,521,800,852,1017,968,900
912,1279,1188,1105,1019,828,925,1010,1065,1133,473,594,868,706,796,569,783,695,651,742,808,890,1116,1044,972
918,1280,1194,1098,1020,997,1089,1177,1265,1341,740,825,979,1053,898,348,818,749,689,625,967,1071,1288,1221,1148
842,1100,1177,1011,935,929,1013,1079,1155,1215,751,851,1044,956,1125,452,815,892,735,664,1001,1103,1448,1274,1181
1001,1295,1234,1163,1086,760,849,939,1033,1114,960,1055,1277,1204,1124,588,831,768,713,655,1048,1132,1350,1278,1209
1207,1969,1898,1369,1287,2358,2433,2501,2561,2629,791,904,1195,1094,1007,1271,1579,1507,1438,1360,540,779,1101,957,875
815,1176,1082,993,1262,451,822,919,1001,1089,740,812,963,897,856,681,938,870,810,748,954,1044,1268,1197,1124
831,1167,1088,990,919,1029,1159,1269,1361,1452,624,699,948,877,786,682,919,820,772,873,855,947,1190,1120,1043
3021,3408,3314,3225,3124,3282,3386,3478,3564,3662,859,962,1273,1194,1118,4341,4616,4954,4794,5117,1113,1217,1432,1365,1294
950,1300,1418,1182,1078,1037,1155,1355,1462,1247,1061,1148,1375,1301,1230,1017,1396,1290,1198,1108,868,960,1216,1137,1050
1218,1838,1741,1630,1370,1030,1135,1260,1368,1481,732,838,1147,1044,941,1197,1648,1457,1372,1559,779,871,957,1188,1083
2384,2817,2714,2604,2497,3795,3910,4018,4113,4208,4090,4255,5669,4708,4400,2917,3996,4363,4191,4530,4804,5244,5568,5459,5359
1218,1633,1535,1439,1340,1286,1440,1553,1653,1748,894,1018,1122,1343,1231,1224,1569,1481,1401,1318,1044,1280,1722,1616,1498
1024,1486,1303,1128,1398,2313,2409,2488,2569,2643,675,1163,1504,1411,1295,1433,1893,1776,1665,1568,942,1064,1174,1405,1285
1288,1889,1764,1558,1424,1076,1181,1287,1579,1674,1968,3837,5104,4986,3963,1156,1631,1490,1382,1268,2524,2647,4775,4670,4558
886,1188,1121,1041,968,586,671,740,888,813,953,1206,1603,1474,1356,456,621,579,541,501,1338,1434,1735,1641,1530
733,894,1043,820,975,746,823,895,967,1015,2931,3021,3254,3180,3100,435,739,703,659,615,1067,1175,1488,1388,1275
780,1246,1164,1081,996,525,596,1054,655,708,1035,1141,1500,1406,1271,460,842,926,777,710,784,1160,1507,1404,1295
