Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
986,1065,1137,1207,1278,1347,1418,1470,1571,1632,721,885,803,964,1381,1046,1456,1533,1617,1721
849,937,1017,1097,1175,1253,1515,1594,1685,1767,732,903,825,974,1112,1043,1292,1345,1394,1454
687,747,796,1139,1194,1247,1320,1389,1476,1579,943,1119,1034,1200,1361,1281,1445,1692,1900,1777
998,1103,1202,1293,1381,1469,1555,1781,2150,2243,1732,1953,1845,2063,2264,2164,2363,2459,2557,2655
1089,1185,1269,1349,1428,1508,1594,1840,1923,2026,915,1079,999,1156,1309,1233,1385,1613,1788,1696
582,652,715,1152,1233,1311,1389,1467,1544,1638,830,994,914,1071,1226,1149,1305,1743,1458,1575
567,653,1017,1099,1183,1261,1337,1413,1488,1590,889,1060,976,1141,1305,1221,1410,1637,1722,1806
934,1024,1110,1194,1271,1356,1434,1513,1687,1786,468,623,1128,1215,1411,1321,1497,1585,1670,1771
1566,1672,1772,1865,1953,2027,2103,2183,2264,2346,1892,2080,1989,2186,2374,2281,2467,2558,2647,2736
582,643,983,1035,1082,1132,1179,1228,1278,1338,516,626,574,677,937,725,989,1038,1116,1178
614,676,1000,1053,1102,1150,1198,1246,1294,1354,502,679,594,1191,1570,1474,1662,1752,1841,1931
703,763,813,862,910,958,1177,1258,1338,1427,578,1057,991,1121,1220,1170,1270,1319,1367,1427
856,931,1007,1081,1134,1208,1276,1504,1578,1669,559,666,616,967,1068,1018,1116,1164,1212,1272
2156,2344,2530,2700,2864,3026,3185,3645,5213,5467,3575,4580,4241,4942,5450,5220,5637,5808,6006,6235
3123,3408,3681,3947,4452,4694,4939,5196,5445,5736,2181,2583,2398,2785,3190,2991,3962,4154,4331,4569
1812,2009,2221,2398,2580,2768,3533,3751,3972,4214,2230,2628,2442,2808,3168,2985,3371,3992,4459,4197
1810,2072,2248,2418,2587,2757,3344,3544,3719,3930,1719,2162,1935,2834,3291,3059,3538,3742,3944,4255
1263,1416,2256,2386,2504,2620,2809,3032,3255,3509,2113,2526,2328,2716,3088,2902,3736,3964,4157,4385
3553,3835,4033,4223,4406,4861,5120,5377,5641,5906,4609,4947,4791,5093,5387,5238,5537,5708,5885,6058
1281,1407,1549,1661,1753,1849,2236,2346,2489,2621,980,1189,1090,1285,1472,1380,1811,1911,2009,2106
659,722,1083,1143,1195,1247,1297,1347,1396,1458,514,920,577,975,1079,1026,1131,1192,1267,1362
965,1068,1149,1229,1312,1401,1740,1832,2005,2120,1462,1671,1570,1770,1959,1865,2054,2152,2247,2342
1093,1197,1294,1382,1466,1568,1659,1941,2039,2152,872,1070,988,1146,1308,1226,1392,1627,1793,1705
1096,1204,1319,1415,1504,1592,1677,1912,2132,2289,8057,8238,8157,8316,8471,8393,8545,8619,8692,8768
