Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
757,843,921,1320,1396,1478,1549,1803,1858,1907
1171,1248,1311,1372,1430,11218,11281,11342,11402,11470
561,898,676,950,1017,1414,1476,1538,1600,1660
569,1006,691,761,1075,11109,11347,11408,11477,11585
666,761,811,864,934,1207,1573,1635,1695,1754
785,856,1163,1243,1312,11514,11591,11675,11768,11843
1007,1094,1173,1250,1328,1813,1868,1919,1970,2021
669,718,759,804,844,11211,11273,11328,11632,11678
774,853,913,967,1022,1338,1401,1449,1719,1770
1195,1272,1338,1400,1465,11215,11296,11363,11438,11511
500,813,889,963,1032,1497,1556,1619,1676,1738
746,824,894,963,1032,11386,11451,11773,11825,11879
864,966,1057,1139,1204,1544,1600,1999,2058,2121
1069,1151,1213,1391,1460,11035,11101,11355,11422,11488
564,640,723,794,862,1145,1190,1459,1518,1575
570,1055,659,715,781,11078,11133,11187,11586,11634
785,861,924,1235,1291,1346,1395,1442,1741,1791
726,809,875,935,1122,11352,11412,11473,11556,11636
571,1108,694,766,1176,1623,1678,1728,1780,1831
555,620,677,734,790,11088,11164,11635,11711,11786
674,754,833,904,1310,1391,1459,1769,1833,1897
1142,1219,1278,1334,1392,11133,11186,11241,11533,11590
710,773,829,883,937,1245,1295,1343,1514,1562
574,859,653,695,901,11123,11186,11253,11324,11397
490,726,792,862,934,1355,1416,1478,1540,1601
1217,1309,1395,1475,1551,11181,11259,11341,11403,11462
532,793,863,931,998,1422,1475,1527,1587,1649
737,816,897,969,1044,11294,11358,11415,11469,11522
1709,1775,1835,1895,1956,2018,2076,2132,2188,2243
1172,1245,1306,1379,1443,11175,11234,11293,11613,11672
758,826,888,949,1008,1346,1401,1453,1635,1687
594,959,1043,1122,1182,11431,11499,11568,11944,12015
917,993,1062,1131,1199,1602,1661,1722,1935,1995
674,741,820,1034,1101,11144,11205,11260,11313,11362
1588,1654,1712,1769,1824,1880,1928,1975,2023,2070
600,1033,688,757,1103,11358,11423,11490,11555,11621
575,1004,697,1059,1126,1530,1590,1648,1705,1762
568,984,657,711,1054,11692,11756,11820,11886,11969
1143,1242,1333,1419,1498,1936,1988,2039,2093,2142
624,704,774,843,1073,11067,11108,11148,11189,11229
532,807,612,849,889,1138,1172,1205,1237,1270
610,942,689,752,988,11299,11363,11424,11498,11555
573,935,655,999,1063,1445,1497,1548,1599,1650
996,1080,1283,1368,1448,11854,11925,11994,12064,12132
1377,1475,1540,1601,1670,2101,2160,2213,2272,2330
505,759,588,801,843,11253,11313,11374,11443,11512
880,931,983,1058,1117,1465,1505,1538,1584,1651
731,801,861,919,977,12732,12804,12878,12953,13025
2238,2331,2410,2486,2561,3011,3077,3141,3205,3268
612,689,760,827,1057,10955,10995,11036,11244,11285
639,688,731,771,812,1039,1075,1109,1230,1264
761,852,928,1002,1070,12922,13121,13305,13508,13706
1189,2247,2444,1624,2624,3823,3994,4195,4366,4531
1716,1987,2223,2448,2667,15450,15795,16145,16486,16829
3440,3858,4210,4554,4898,7003,7275,7448,7602,7789
2856,3460,4199,4841,5201,12766,12907,13036,13159,13280
4105,4458,4811,5132,5453,5780,6023,6260,6498,6740
1577,1789,1995,2779,3011,13345,13528,14437,14632,14812
2068,2301,2506,2699,2893,3921,4070,4797,4936,5088
1473,1673,1819,1989,2157,13036,13212,13387,13562,13740
1311,1498,1672,1849,2681,3775,3923,4072,4239,4409
1842,2687,2885,2080,3078,13270,13583,15158,15452,15748
1604,1780,1948,2674,4150,4466,4699,5839,6105,6398
2633,2848,3040,3183,3329,12487,13064,13652,14151,14284
4244,4362,4478,4582,4679,4783,4873,4958,5040,5127
884,973,1046,1113,1180,11578,11660,11766,12222,12298
1032,1122,1205,1287,1373,1885,1965,2035,2273,2339
503,824,876,629,953,11500,11579,11663,11738,11817
969,1146,1231,1302,1060,1792,1858,1921,1980,2045
821,925,1015,1098,1179,11341,11418,11492,11568,11643
601,909,987,1072,1159,1592,1660,1726,1791,1857
705,792,872,1116,1197,11437,11514,11587,11664,11736
503,980,1047,1128,1204,1671,1726,1779,1832,1885
1327,1421,1499,1582,1671,11227,11294,11366,11790,11862
731,809,877,958,1035,1471,1538,1606,1842,1908
589,909,958,718,1006,11344,11394,11462,11542,11619
581,983,1036,1097,1165,1601,1668,1735,1789,1828
795,879,955,1026,1099,11258,11337,11794,11871,11948
802,892,979,1062,1476,1556,1619,1917,1978,2035
822,917,996,1070,1312,11345,11420,11816,11890,11963
859,950,1029,1105,1182,1595,1662,1961,2028,2093
922,1000,1079,1156,1233,11196,11283,11874,11961,12040
802,899,989,1433,1521,1606,1680,2012,2075,2142
800,895,966,1038,1263,11621,11696,11777,11856,11938
695,1410,847,938,1024,1898,1963,2024,2091,2157
549,1049,1121,736,1190,12132,12219,12305,12391,12475
1571,1675,1758,1848,1933,2462,2536,2610,2685,2760
778,856,923,1302,1383,11216,11262,11308,11354,11399
595,930,705,979,1026,1309,1348,1386,1423,1461
566,854,661,924,977,11036,11083,11129,11175,11521
727,786,1108,1157,836,1207,1249,1288,1328,1425
936,1036,1114,1197,1284,11585,11668,11745,11818,12228
1071,1156,1234,1311,1387,1850,1920,1991,2051,2200
562,618,664,711,868,11365,11442,11518,11596,11690
587,935,1021,1099,1176,1682,1740,1801,1884,1954
654,713,774,970,1048,11238,11307,11731,11790,11849
796,886,972,1057,1433,1503,1565,2035,2102,2161
861,941,993,1040,1175,11267,11330,11396,11730,11795
793,864,928,990,1053,1412,1469,1524,1732,1789
566,839,624,674,903,11322,11390,11456,11523,11609
609,888,948,1036,1106,1547,1602,1656,1709,1762
768,871,965,1056,1341,11283,11375,11819,11889,11958
839,925,1016,1092,1495,1570,1639,2195,2268,2335
738,794,845,892,937,11364,11434,11502,11571,11652
989,1049,1098,1146,1195,1649,1718,1784,1850,1915
549,982,1083,1177,1268,11422,11512,11983,12081,12177
811,912,1016,1110,1210,1709,1790,2155,2217,2278
667,767,852,939,1024,11634,11711,11789,11867,11945
592,1161,1251,1336,1414,1892,1956,2016,2075,2135
761,849,935,1017,1096,11150,11217,11622,11688,11754
716,800,874,942,1303,1372,1427,1691,1745,1798
1226,1331,1420,1506,1590,11710,11792,11879,11976,12067
780,1433,924,1008,1516,2054,2123,2190,2257,2323
825,896,960,1021,1082,11436,11520,11603,11689,12119
910,999,1084,1167,1252,1736,1807,1877,1947,2116
761,846,923,996,1200,11428,11505,11567,11627,11687
1988,2065,2137,2214,2285,2352,2413,2474,2533,2590
742,826,896,964,1033,11213,11262,11653,11704,11750
805,876,955,1036,1339,1419,1485,1710,1772,1836
1317,1419,1510,1599,1688,11690,11792,12344,12443,12544
1063,1173,1275,1373,1472,2098,2165,2549,2607,2666
1213,1295,1362,1428,1493,11063,11484,11554,11636,11719
636,716,786,855,1213,1284,1678,1748,1815,1885
627,1220,765,829,906,11338,11431,11875,11960,12050
766,866,962,1049,1138,1617,1695,2049,2119,2188
838,898,949,997,1047,11350,11414,11478,11543,11887
864,938,1004,1068,1130,1508,1565,1620,1675,1808
666,1098,757,842,1154,11104,11151,11197,11247,11293
803,1201,1250,861,911,1299,1341,1414,1471,1524
624,1001,1091,1169,1249,12134,12200,12265,12330,12395
1629,1718,1792,1881,1948,2355,2412,2468,2523,2577
901,965,1046,1126,1205,11340,11410,11481,11552,11929
847,925,1005,1081,1152,1592,1651,1705,1758,1895
1459,1586,1706,1824,1940,11262,11335,11410,11844,11903
777,856,929,998,1064,1511,1588,1661,1942,2046
1284,1391,1487,1584,1682,11731,11794,11853,11909,11967
1286,1365,1432,1494,1552,1910,1960,2021,2065,2239
751,814,866,933,981,10905,10946,10992,11027,11060
1182,1239,1294,1350,1405,1461,1495,1528,1561,1593
962,1038,1104,1175,1239,11462,11609,12124,12289,12439
1138,2597,2804,2923,3026,3125,3209,3311,3397,3543
1741,1860,1961,2088,2242,12584,12737,12895,13051,13208
1020,1840,1974,2132,2286,3245,3352,3457,3606,3826
1583,1778,1964,2257,2396,12962,13131,13298,14117,14273
2018,2175,2318,2463,2623,3577,3700,3811,4398,4730
1388,1570,1753,1957,2547,12288,13181,13330,13474,13644
1493,1649,1806,1961,2728,2889,3681,3806,3929,4058
2337,2534,2686,2826,2996,13320,13545,13755,14903,15144
2142,2360,2559,2767,2965,4121,4338,4545,5267,5474
1499,1657,1787,1928,2069,11573,12432,12546,12673,12792
1000,1162,1288,1963,2087,2202,2814,2940,3088,3189
1169,1286,1391,1494,1594,12462,12580,12695,12811,12952
1688,1846,1973,2093,2209,2951,3035,3115,3194,3271
1877,1997,2096,2191,2285,11499,11574,11640,11705,11771
2106,2191,2266,2340,2414,2499,2564,2626,2688,2751
640,699,747,907,956,11446,11531,11619,11699,11775
588,671,748,1163,1247,1756,1815,1879,1948,2010
644,716,782,846,909,11944,12029,12112,12201,12276
1398,1494,1581,1665,1751,2262,2313,2355,2405,2448
624,664,698,730,761,11257,11337,11400,11451,11501
661,753,831,912,1034,1412,1455,1499,1543,1587
833,883,925,965,1005,11057,11112,11161,11212,11261
1442,1506,1564,1628,1686,1742,1792,1839,1886,1933
500,565,613,659,703,11081,11136,11190,11472,11525
711,768,820,873,926,1239,1284,1327,1505,1550
1139,1202,1258,1312,1370,10759,10789,10818,10847,10876
389,427,572,603,634,815,841,864,889,913
542,600,645,689,738,11246,11300,11356,11411,11468
843,905,965,1021,1088,1430,1478,1525,1573,1618
610,667,723,777,830,11216,11263,11310,11559,11603
852,910,961,1008,1056,1314,1359,1403,1640,1694
601,664,718,771,825,11426,11486,11551,11610,11667
1035,1099,1154,1209,1264,1635,1679,1719,1762,1801
622,662,695,726,756,10794,10824,10861,10894,10937
452,891,955,1004,1055,1107,1161,1196,1228,1253
435,470,501,529,559,11203,11259,11314,11369,11447
806,878,938,997,1055,1442,1492,1541,1589,1637
614,684,737,788,839,11084,11133,11184,11454,11509
742,793,838,889,938,1232,1274,1315,1475,1515
599,649,693,737,780,11039,11088,11416,11474,11533
719,778,840,898,1169,1224,1277,1509,1550,1590
557,617,671,720,770,11097,11147,11200,11253,11308
509,565,620,664,929,1254,1299,1342,1385,1427
913,978,1036,1095,1151,11105,11155,11205,11480,11533
719,769,820,871,920,1214,1259,1302,1459,1503
645,694,740,791,841,10898,10947,10997,11251,11299
555,610,660,710,759,1031,1075,1118,1265,1308
508,545,575,606,636,10828,10881,11255,11306,11358
559,624,683,966,1020,1073,1120,1329,1374,1419
388,591,450,625,655,10927,10956,10984,11013,11042
502,538,569,712,743,922,946,972,996,1020
637,677,728,761,792,11236,11285,11333,11379,11426
885,939,984,1026,1068,1356,1398,1437,1478,1521
578,649,710,771,972,11065,11117,11171,11457,11510
683,743,799,853,907,1209,1258,1305,1469,1517
520,779,591,629,817,11036,11071,11108,11145,11181
522,730,769,807,843,1066,1098,1127,1156,1186
563,608,647,683,720,11059,11123,11473,11520,11577
661,738,813,887,1214,1273,1322,1692,1742,1792
670,729,784,835,888,11014,11050,11086,11121,11156
523,770,596,810,847,1066,1097,1128,1171,1206
512,773,582,622,810,11344,11403,11479,11555,11631
656,1187,789,860,946,1624,1692,1758,1823,1888
1368,1468,1553,1632,1712,11398,11470,11529,11585,11640
1903,1977,2041,2106,2198,2289,2360,2427,2513,2581
818,914,999,1083,1164,11117,11164,11441,11486,11531
772,828,877,924,1171,1219,1258,1440,1479,1516
863,964,1052,1136,1216,11280,11349,11779,11846,11914
865,946,1018,1088,1461,1532,1595,1871,1932,1992
560,878,925,686,971,11423,11508,11592,12035,12122
931,1026,1108,1194,1278,1772,1835,1909,2159,2226
899,998,1081,1156,1232,11149,11655,11718,11774,11830
769,862,947,1328,1404,1472,1976,2041,2107,2168
800,868,946,1022,1097,11251,11327,11402,11460,11535
569,846,909,968,1044,1489,1557,1622,1688,1753
740,821,894,979,1069,11270,11620,11683,11738,11792
795,899,992,1074,1382,1449,1744,1985,2043,2097
1326,1417,1504,1576,1645,11428,11505,11585,11994,12071
940,1017,1087,1157,1235,1696,1760,1820,2049,2114
727,1239,1322,915,1382,11345,11429,11512,11597,11678
609,917,983,1066,1148,1648,1719,1789,1858,1928
1430,1520,1592,1669,1746,11126,11737,11814,11910,12001
722,830,918,1338,1435,1541,1981,2056,2129,2202
947,1032,1113,1191,1269,11233,11300,11652,11722,11795
766,843,913,983,1054,1426,1487,1771,1830,1893
926,1007,1078,1146,1214,12227,12329,12417,12511,12589
1631,1728,1828,1925,2019,2559,2619,2682,2746,2810
1507,1628,1747,1862,1978,11584,11670,11770,12283,12379
954,1060,1157,1249,1351,1887,1973,2057,2352,2434
988,1082,1168,1250,1333,12561,12674,12776,12888,12996
1839,1971,2090,2206,2321,2996,3067,3132,3195,3259
1463,1587,1704,1821,1936,10931,10970,11008,11048,11089
651,982,1022,699,739,1061,1094,1125,1157,1187
697,747,791,835,877,11083,11152,11572,11644,11715
688,763,840,910,1284,1357,1412,1697,1753,1811
