Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
761,1364,1416,1465,1513,1561,1608,1656,1703,1818
585,10871,10940,11003,11061,11119,11176,11234,11291,11813
712,1317,1369,1420,1469,1521,1572,1619,1671,1792
562,11077,11152,11224,11296,11365,11432,11501,11574,12099
911,1605,1655,1714,1761,1810,1858,1907,1956,2080
782,11063,11118,11178,11242,11303,11362,11908,11978,12043
849,1456,1508,1556,1603,1651,1700,1967,2024,2080
450,11057,11129,11200,11281,11353,11422,12014,12081,12149
883,1596,1654,1707,1761,1815,1868,2136,2191,2244
858,11147,11244,11332,11419,11505,11592,12345,12435,12523
915,1779,1852,1925,2000,2079,2152,2501,2576,2648
797,11039,11093,11141,11189,11236,11283,11329,11375,11420
510,1366,1405,1443,1481,1519,1557,1595,1633,1671
735,11284,11334,11002,11073,11461,11507,11553,11598,11644
782,1574,1613,1260,1300,1653,1691,1729,1767,1805
714,11056,11108,11161,11236,11312,11384,12005,12088,12141
856,1468,1541,1595,1653,1723,1798,2060,2100,2141
731,10947,11019,11117,11209,11298,11986,12055,12127,12194
758,1533,1605,1678,1747,1819,2363,2433,2499,2568
760,11193,11275,10843,10915,11496,11572,11648,11729,11808
554,1788,1860,1248,1320,1932,2003,2075,2144,2215
838,11043,11145,11235,11303,11367,11932,11988,12044,12098
817,1522,1581,1639,1696,1752,2321,2383,2441,2497
766,11170,11268,11352,11432,11511,11563,12059,12132,12207
977,1642,1708,1779,1827,1866,1904,2205,2266,2337
751,11914,11986,12061,12134,12203,12273,12343,12414,12482
1678,2445,2513,2579,2647,2715,2781,2846,2914,2986
603,10932,10993,11053,11128,11202,11275,11928,11996,12063
755,1418,1487,1554,1621,1687,1754,2030,2090,2148
634,11765,11836,11901,11964,12028,12091,12154,12216,12279
1555,2230,2286,2341,2397,2452,2506,2578,2636,2691
1108,10897,10968,11058,11155,11852,11951,12045,12119,12188
670,1458,1528,1587,1647,2142,2202,2261,2338,2398
726,11955,11836,11719,11596,12077,12212,12337,12461,12585
1346,3275,3066,2837,2613,3477,3677,3834,3922,3985
1533,11367,10852,10940,11038,11652,11715,11797,11879,11962
643,1956,1331,1399,1470,2027,2099,2170,2242,2312
769,11067,11116,11162,11209,11256,11332,11415,12110,12188
850,1503,1573,1652,1715,1779,1842,1905,2137,2201
1547,11586,11026,11102,11184,11893,11977,12060,12144,12224
797,2202,1556,1627,1700,2275,2335,2395,2455,2515
870,11118,11189,11275,11347,11414,11482,11550,11617,11685
932,1652,1712,1772,1831,1890,1951,2016,2079,2152
1175,11859,11932,12003,12072,12140,12208,12275,12344,12414
1654,2380,2447,2513,2579,2646,2711,2773,2837,2907
808,11023,11076,11125,11173,11220,11266,11313,11359,11407
521,1290,1330,1372,1412,1450,1489,1527,1565,1603
718,11752,11824,11896,11967,12037,12107,12178,12249,12319
1542,2277,2342,2407,2466,2521,2576,2632,2687,2742
1256,11077,11154,11229,11305,11375,11446,12115,12202,12276
886,1566,1631,1704,1780,1852,1923,2251,2334,2415
567,11091,11175,11254,11331,11409,11485,11562,12230,12303
865,1633,1703,1768,1835,1899,1965,2029,2255,2322
1155,11281,11359,11432,11500,11567,11636,11714,12342,12404
1048,1791,1857,1917,1979,2040,2103,2161,2541,2601
835,11283,11345,10925,11011,11552,11637,11722,11808,11891
616,1837,1909,1275,1340,1980,2048,2117,2187,2258
770,11391,11474,10971,11045,11690,11766,11839,11908,11978
748,1929,1989,1432,1500,2048,2111,2170,2233,2291
641,11156,11228,11304,11381,11459,11536,12199,12276,12353
926,1680,1745,1806,1867,1927,1987,2290,2351,2411
861,11881,11961,12037,12118,12207,12288,12358,12438,12512
1667,2478,2538,2610,2672,2729,2794,2857,2925,2987
689,10900,10992,11077,11163,11248,11936,12019,12101,12185
690,1462,1534,1605,1676,1747,2165,2234,2308,2390
1067,11097,11191,11283,11380,11476,12151,12220,12312,12392
877,1687,1758,1826,1897,1964,2360,2424,2489,2553
560,11537,11597,11653,11718,11784,12164,12238,12307,12379
1309,1734,1792,1849,1925,1982,2332,2390,2446,2502
1159,11454,10937,11020,11118,11725,11820,11904,11985,12066
736,2061,1446,1512,1574,2125,2196,2266,2332,2393
861,12096,12189,12275,12363,12449,12536,12624,12694,12770
1862,2732,2802,2873,2943,3007,3071,3136,3199,3264
683,11090,11163,11234,11302,11378,11425,11473,11875,11920
892,1484,1525,1564,1603,1642,1681,1718,1857,1896
705,10768,10834,10900,10963,11025,11563,11625,11687,11749
584,1177,1233,1285,1337,1390,1699,1753,1805,1857
737,10910,10967,11025,11080,11134,11189,11244,11731,11785
704,1257,1307,1356,1404,1451,1498,1546,1711,1759
532,10883,10963,11036,11106,11174,11238,11811,11880,11950
705,1376,1435,1490,1546,1601,1654,1928,1988,2041
624,10920,11003,11073,11143,11215,11822,11895,11973,12046
713,1444,1505,1559,1607,1661,2015,2070,2125,2178
532,11029,11071,10790,10832,11179,11219,11258,11297,11336
516,1220,1255,951,986,1289,1322,1355,1388,1421
660,11077,11152,11224,10785,11354,11426,11496,11566,11635
594,1602,1660,1717,1184,1775,1831,1875,1934,1989
665,10948,11003,11058,11113,11168,11222,11275,11755,11811
754,1293,1341,1386,1434,1482,1529,1577,1749,1798
565,10805,10871,10941,11009,11068,11125,11643,11701,11757
633,1240,1292,1344,1396,1446,1496,1728,1778,1829
1157,11743,11827,11907,11986,12065,12145,12224,12300,12381
1543,2350,2410,2468,2528,2587,2644,2701,2758,2814
490,12212,12389,12568,12745,12918,13082,13242,13403,13567
1098,3633,3779,3914,4056,4157,4240,4323,4429,4566
1065,11768,11926,12083,12240,12397,13705,13861,14015,14172
1427,2876,3015,3145,3273,3403,4190,4327,4457,4586
1778,11884,12048,12232,12412,12582,14056,14255,14446,14662
1503,3086,3242,3392,3539,3698,4688,4857,5025,5176
2757,14280,14424,14589,14750,14909,15036,15197,15357,15518
3866,5511,5656,5789,5915,6038,6161,6286,6411,6536
1686,11699,11847,12009,12172,13118,13290,13496,13719,13907
