Client_0,Client_1,Client_2,Client_3,Client_4
649,781,750,844,815
10703,10928,10885,10829,10773
875,1168,1123,960,917
10641,10797,10749,10970,10913
686,907,854,1016,964
11370,11966,11810,11650,11520
2012,2584,2457,2286,2142
12224,12967,12803,12636,12433
2979,3603,3447,3298,3140
12466,13213,13046,12864,12675
3229,3730,3617,3489,3357
12120,12791,12656,12495,12320
2758,3292,3169,3030,2890
11551,12265,12086,11907,11735
2245,2789,2660,2520,2383
11669,12072,11982,11889,11791
2011,2327,2249,2171,2092
10605,10903,10807,11105,11040
856,1136,1074,1238,1201
10588,10787,10743,10698,10643
723,873,836,798,761
10507,11068,10973,10911,10833
658,1170,1127,1085,1041
11271,11586,12289,12154,11978
1695,2336,2778,2624,2474
11840,12359,12237,12110,11983
2715,3160,3050,2942,2831
12111,13424,13126,12373,12247
3910,5356,5220,4949,4432
11575,11887,12310,12200,12103
1792,2292,2731,2610,2475
13187,13856,13693,13530,13365
2028,2594,2457,2315,2167
10654,10936,10869,10800,10733
882,1117,1057,994,940
10524,10702,10923,10875,10821
669,872,1013,967,922
10698,10944,10885,10844,10781
835,1045,990,948,879
10607,10720,10692,10664,10774
578,679,655,631,706
10546,10672,10627,10826,10780
641,803,768,888,845
10500,10682,10647,10595,10544
642,817,774,730,685
10949,11195,11139,11080,11021
1338,1553,1502,1453,1400
10801,11069,11003,10943,10876
1039,1246,1194,1145,1092
10846,11101,11040,10976,10917
1286,1538,1475,1416,1355
44073,44324,44268,44211,44154
