Client_0,Client_1,Client_2,Client_3,Client_4
1250,1327,1398,1465,1534
10829,10918,11000,11085,11154
1125,1188,1256,1323,1385
11023,11091,11151,11212,11289
1214,1287,1347,1404,1470
10519,10572,10767,10826,10886
565,609,860,928,992
10685,10774,11149,11214,11275
875,949,1364,1430,1489
10774,10864,10953,11032,11114
1092,1158,1219,1279,1359
10801,10879,10949,11018,11104
1084,1155,1226,1303,1379
10849,10942,11033,11118,11186
1138,1201,1263,1474,1540
10600,10933,11021,11098,11175
745,1142,1216,1288,1350
11117,11223,11321,11418,11530
1549,1630,1725,1791,1861
10808,10899,10980,11072,11160
1119,1186,1251,1320,1400
10813,10913,11002,11087,11210
1229,1301,1364,1427,1492
10669,10759,10851,11269,11363
927,999,1070,1331,1411
10766,10888,11027,11141,11551
1153,1227,1298,1370,1554
10736,10811,10880,10949,11017
950,1007,1065,1122,1180
10863,10967,11085,11192,11300
1310,1375,1438,1498,1562
10709,10810,10897,10986,11067
1061,1130,1200,1268,1330
11287,11399,11500,11605,11709
1710,1776,1841,1903,1971
10913,10990,11069,11146,11222
1190,1253,1313,1372,1431
11219,11345,11457,11575,11691
1700,1778,1850,1926,2001
10728,10794,10856,11252,11321
893,976,1043,1245,1307
41287,41336,41384,41152,41228
